text,Sentiment,Score,date
Hon. Muhammad Sani @Dattijo today met with party stakeholders of Kaduna South under the leadership of Dr. Mohammed… https://t.co/OIOZC8ifM5,POSITIVE,0.9606561660766602,2023-02-02 19:54:42+00:00
Every election is determined by the people who show up. Let's get #PVCs Abuja! #NigeriaDecides2023 🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬… https://t.co/kSr6GOCodQ,NEGATIVE,0.9940040707588196,2023-02-02 19:49:44+00:00
A very self centered man who even his boss said he can't stand for the truth in his dealing with people… https://t.co/djlhbLWrUP,NEGATIVE,0.9650448560714722,2023-02-02 19:48:38+00:00
In Lagos we pay 1k to withdraw 5k this thing isn’t funny at all 🥹 #EndBadGovernance #pvc #NigeriaDecides2023,NEGATIVE,0.9995642304420472,2023-02-02 19:44:09+00:00
Asiwaju @officialABAT will win but his enemies will try #NigeriaDecides2023 you dont reveal your plans too early for a man like Asiwaju,NEGATIVE,0.9417479634284972,2023-02-02 19:41:25+00:00
Set your reminder! Tomorrow at 6pm @GovoteNg will be hosting a #Twitter spaces conversation with @ineclagos &amp;… https://t.co/9YAmvNLbcn,NEGATIVE,0.942478358745575,2023-02-02 19:38:17+00:00
#NigeriaDecides2023!!!!  No Sit-At-Home For February- – – – IPOB Declares… https://t.co/puhVInoDdK,NEGATIVE,0.9991151690483092,2023-02-02 19:30:33+00:00
Join us in the forthcoming virtual town hall. Our Cybersecurity Experts will be presenting their results on the stu… https://t.co/l5CkIZUgTx,POSITIVE,0.658410370349884,2023-02-02 19:30:24+00:00
After we win later this month. we would have to study how PeterObi built the greatest political base in the history… https://t.co/WyXfddWdus,POSITIVE,0.9520977735519408,2023-02-02 19:25:47+00:00
Just wandering why is there no Presidential Debates  for #NigeriaDecides2023 where candidates seeking for higher of… https://t.co/34q7KnDiLM,NEGATIVE,0.9969205856323242,2023-02-02 19:23:33+00:00
@AishaYesufu If any other corrupt Leader  joined @NgLabour they will be kept in a Bin for proper scanning #NigeriaDecides2023,NEGATIVE,0.9994180202484132,2023-02-02 19:15:18+00:00
The current situation Nigerians are faced with as a result of poor governance and leadership.… https://t.co/mlrnuDz9S9,NEGATIVE,0.999190390110016,2023-02-02 19:09:17+00:00
@PeterObi we Love you in Birnin Kebbi... It was wonderful today.. #ObiDattiInSokoto #ObiDattiInZamfara… https://t.co/hUzTYCJwNN,POSITIVE,0.9995355606079102,2023-02-02 19:05:53+00:00
I can’t wait to vote for @PeterObi #NigeriaDecides2023,NEGATIVE,0.9704716801643372,2023-02-02 19:05:19+00:00
Yesterday KDI hosted a Technical Session with Legal experts to review relevant electoral legal frameworks and their… https://t.co/sM0oQG1fpN,NEGATIVE,0.780828595161438,2023-02-02 19:04:39+00:00
"El-Rufai is a 'successor' of the famed ""Kaduna Mafia"". If he suggests there's a sabotage of #BAT and @OfficialAPCNg… https://t.co/ERg7SZl64p",NEGATIVE,0.9952989220619202,2023-02-02 19:02:22+00:00
You don't hide to support good thing. You only hide when you know what you're supporting is bad. I'm Obidient with… https://t.co/GlTNMDaHfj,NEGATIVE,0.9964795708656312,2023-02-02 19:01:18+00:00
New Naira Notes: The Haves and Have-Nots dey the same boat. The only positive from this hullabaloo 😃.… https://t.co/1nuq4UAl3K,NEGATIVE,0.995629072189331,2023-02-02 18:56:55+00:00
@YeleSowore God will continue to bless 🙏🙏🙏🙏 for all you are doing bro Bono. A colleague met me today and told me yo… https://t.co/nB37BVBAwt,POSITIVE,0.9855205416679382,2023-02-02 18:48:08+00:00
@yabaleftonline El rufai is a religious bigot we all know that as much as we know his a national Patriot...he can't… https://t.co/LKtmwx4Mmq,POSITIVE,0.9834023714065552,2023-02-02 18:40:18+00:00
Today I understand why you have to just choose power  when asked which to choose between money or power.… https://t.co/pJ4BDutqRp,NEGATIVE,0.9921546578407288,2023-02-02 18:30:49+00:00
You can’t buy this love ! #NigeriaDecides2023 #TinubuInOsun https://t.co/qZbKC7rkk3,NEGATIVE,0.9718862771987916,2023-02-02 18:25:32+00:00
"📍""The world will not respect Africa until Nigeria earns that respect. The black people of  the world need Nigeria t… https://t.co/FDZTkna7Ns",NEGATIVE,0.9348050951957704,2023-02-02 18:21:08+00:00
@BOGbadams @OfficialAPCNg @MBuhari @NGRSenate @nigeriaarmydary @PoliceNG @inecnigeria @NGRPresident @CNN @cnnbrk… https://t.co/y787Z4ayNZ,NEGATIVE,0.9896275997161864,2023-02-02 18:17:59+00:00
The people of Osun could not hide thier love for Asiwaju @officialABAT as the turn out was a massive one.… https://t.co/jHvPAGsSVP,NEGATIVE,0.962092101573944,2023-02-02 17:41:08+00:00
The aim of the visit is to reassure the commission of the commitment of the @officialnyscng to all the terms in the… https://t.co/tGMErQCIEC,POSITIVE,0.982711136341095,2023-02-02 17:38:05+00:00
Infact I stand before you precisely because of those challenges. I see the challenges and I have the key to overcom… https://t.co/f6WxsCtSQP,POSITIVE,0.9734212160110474,2023-02-02 17:32:19+00:00
I pray Nigeria 🇳🇬 get it right this time as election draws closer. #NigeriaDecides2023                   #INEC,NEGATIVE,0.9753755331039428,2023-02-02 17:30:50+00:00
I have a responsibility to be here. I am the man who can lead this country through the difficult times. ~ Asiwaju… https://t.co/dAJKXWudHE,POSITIVE,0.99473637342453,2023-02-02 17:30:29+00:00
See how the people of Osun came out to receive Asiwaju Tinubu. The love is real. They will claim their mandate back… https://t.co/3eljl3brfw,POSITIVE,0.9994158744812012,2023-02-02 17:30:20+00:00
@GazetteNGR Go and pick up your PVCs.  #ObiDatti2023 #ObiDients #NigeriaDecides2023 #PeterObi4President2023… https://t.co/F5u2vydtLX,NEGATIVE,0.9954031705856324,2023-02-02 17:28:26+00:00
The people have spoken loud and clear. Nothing can change their minds. It is either Tinubu or Tinubu. Wailers can w… https://t.co/N7JqGhmajo,NEGATIVE,0.9874027967453004,2023-02-02 17:24:39+00:00
Make you nah dey watch...the return of #ENDSARS go come sha...all this thing wey the government dey do play person… https://t.co/B6AM3z9UWg,NEGATIVE,0.9896092414855956,2023-02-02 17:22:00+00:00
Place close attention to Rivers State. #NigeriaDecides2023 https://t.co/YaG7vB5rzg,NEGATIVE,0.87813401222229,2023-02-02 17:20:57+00:00
The presidential candidate behaved like a small boy playing in the backyard while the governor acted like the man t… https://t.co/9yNwlDYieW,NEGATIVE,0.99741131067276,2023-02-02 17:19:47+00:00
The aim of the visit is to reassure the commission of the commitment of the NYSC to all the terms in the MOU ahead… https://t.co/vmqMnQxN2r,POSITIVE,0.9790920615196228,2023-02-02 17:17:39+00:00
@officialABAT had to address the good people of Osun state due to the massive crowd to get to the podium.… https://t.co/Y6nYPsewcq,NEGATIVE,0.7405025959014893,2023-02-02 17:02:48+00:00
Just imagine this - a @British_Airways Lagos-London return ticket costs nearly THREE times the price of an Accra-Lo… https://t.co/lj6J6Gseli,NEGATIVE,0.9983711838722228,2023-02-02 16:58:54+00:00
9ja Naira Scarcity Wahala Are You Gonna Collect Your PVC Or Not abi u want to keep  spending 3k out of your 5k unti… https://t.co/x2d1eNjAWL,NEGATIVE,0.9943032264709472,2023-02-02 16:34:29+00:00
Kudos to all @GovoteNg champion in #ondo state for the massive community voter education in Okitipupa earlier today… https://t.co/r3plfE8edt,NEGATIVE,0.7532029747962952,2023-02-02 16:26:55+00:00
What will it take the Federal Government to call on Nigerians that… fellow Nigerians the Federal Government of Nige… https://t.co/KFpXhnTcIo,NEGATIVE,0.9748879075050354,2023-02-02 16:24:45+00:00
We Autopilot intelligent units monitoring situation of Zoo #NigeriaDecides2023 just like neocolonialism #UN #EU&amp;… https://t.co/UDrSK00DFn,NEGATIVE,0.9922134280204772,2023-02-02 15:09:12+00:00
A major reason Nigeria's 2023 presidential election is a contest at all is because the Nigerian nightmare has destr… https://t.co/BqlQBWrLeL,NEGATIVE,0.997436225414276,2023-02-02 15:05:58+00:00
@dj_switchaholic @SavvyRinu Nigerians please remember what happened in lekki tollgate and vote wisely #NigeriaDecides2023,POSITIVE,0.8772074580192566,2023-02-02 15:05:08+00:00
Nigeria invents problems! I never thought I’d see the day when withdrawals will be this hard and expensive.… https://t.co/QasWwWVmSJ,NEGATIVE,0.9894608855247498,2023-02-02 15:00:19+00:00
#protest #NigeriaDecides2023 #NewNairaNotes #CBN #NewNairaNotes #YOUTH  God have mercy https://t.co/GOoztGaug9,NEGATIVE,0.9910901784896852,2023-02-02 14:52:42+00:00
@ShehuSani Vote Wisely for Labour Party #NigeriaDecides2023 #pvc https://t.co/mEIkXTwRd5,NEGATIVE,0.5791359543800354,2023-02-02 14:34:34+00:00
"@TheresaTekenah Please do not replicate if it means more IDPs and victims of terrorism and insurgency ""across the n… https://t.co/byL7b6r3TL",NEGATIVE,0.993582010269165,2023-02-02 14:20:53+00:00
Congratulations to @PeterObi for becoming the New President of The Federal Republic Of Nigeria. February 25.2023… https://t.co/wGkMcKx0Oa,POSITIVE,0.9978552460670472,2023-02-02 14:18:12+00:00
Go get your PVC!!! #NigeriaDecides2023,NEGATIVE,0.9709559679031372,2023-02-02 17:27:11+00:00
Go get your PVC!!! #NigeriaDecides2023,NEGATIVE,0.9709559679031372,2023-02-02 14:16:15+00:00
When they say the north will vote Tinubu @OfficialAPCNg presidential candidate for 2023 general election I laughed ! #NigeriaDecides2023,POSITIVE,0.9093791246414183,2023-02-02 14:11:09+00:00
@Nkemchor_ God Almighty save Nigeria #NigeriaDecides2023 https://t.co/lAjVKyi1I5,NEGATIVE,0.9914953708648682,2023-02-02 14:10:49+00:00
@firstladyship Obi is Coming #NigeriaDecides2023 https://t.co/emvcqPOOH0,NEGATIVE,0.9955653548240662,2023-02-02 14:06:31+00:00
@PeterPsquare Obi is Coming #NigeriaDecides2023 https://t.co/IwL5lZTemd,NEGATIVE,0.994215190410614,2023-02-02 14:05:07+00:00
@instablog9ja Vote Wisely 🗳 #NigeriaDecides2023 #PVC https://t.co/nBvYIOFhfO,NEGATIVE,0.9901560544967652,2023-02-02 13:53:50+00:00
Before we forget. Watch this 👇 #NigeriaDecides2023 https://t.co/GwsR4LviDM,NEGATIVE,0.9918477535247804,2023-02-02 13:53:20+00:00
It's 23 Days to elect Asiwaju Bola Ahmed Tinubu as the President of the Federal Republic of Nigeria.… https://t.co/l7d9q4GHLI,NEGATIVE,0.8874301314353943,2023-02-02 13:50:28+00:00
candidate not party #TinubuIsComing #NigeriaDecides2023,NEGATIVE,0.9929434657096864,2023-02-02 13:49:00+00:00
@ShehuSani Aso Rock villa New Landlords loading.... #ObiDatti2023 #NigeriaDecides2023 #PVC #ObidientMovement https://t.co/VZDeEFllAa,NEGATIVE,0.9958231449127196,2023-02-02 13:47:12+00:00
@renoomokri Obi is Coming oo #Obidatti2023 #NigeriaDecides2023 #PVC https://t.co/U7ouXgde0o,NEGATIVE,0.9950351715087892,2023-02-02 13:43:49+00:00
And you are telling me people will not sell their vote… since we can deposit anytime after the deadline… And there… https://t.co/BNICfkHwgI,NEGATIVE,0.9762095808982848,2023-02-02 13:43:28+00:00
The Omoluabis of Osun state have spoken loud and clear. Asiwaju Bola Tinubu is our next president by the special gr… https://t.co/rAUeDIQDzZ,POSITIVE,0.9958629608154296,2023-02-02 13:42:29+00:00
and also most of the money spent in LP was from sponsorships from this same APC and PDP's godfathers and chieftains… https://t.co/nm6idcr0QP,NEGATIVE,0.9973475933074952,2023-02-02 13:42:28+00:00
@PeterObi Time to Rescue Nigeria 🇳🇬 @rescue_naija #NigeriaDecides2023 #obidatti2023 #PVC #naijamusic #CBN #emiefele… https://t.co/YgxUc0ezuZ,NEGATIVE,0.982093632221222,2023-02-02 13:41:40+00:00
We all know that the Nigerian political system never does anything for free and the moment you take a detour from w… https://t.co/vMfzdcrwjZ,NEGATIVE,0.9970780611038208,2023-02-02 13:39:56+00:00
@UnlimitedEniola Obi is coming #ObiIsComing #PVC #NigeriaDecides2023 https://t.co/AAHhVw92PE,NEGATIVE,0.996221661567688,2023-02-02 13:37:14+00:00
Welcome to My country 🇳🇬 where the citizens are their problems and they lie on the government 😢 #NigeriaDecides2023 #nigeria #sangloos,POSITIVE,0.9548020362854004,2023-02-02 13:32:49+00:00
Chears to another 365 days of prosperity big 24🎂❤️🤩 #viral #NigeriaDecides2023 #viralvideo #BlackGirlMagic… https://t.co/xSK7aCb5uW,NEGATIVE,0.9852494597434998,2023-02-02 13:32:37+00:00
Money is now commodities in Nigerian..you will use money to buy money 😅😅 #NigeriaDecides2023 #nairobi #NairaRedesign #nigerainnairanote,NEGATIVE,0.9929903745651244,2023-02-02 13:24:00+00:00
I don’t know this feels weird I feel like Naira is hoarded on purpose! Bank don’t have enough new notes! The electi… https://t.co/vWoyYPAttB,NEGATIVE,0.9992710947990416,2023-02-02 13:21:05+00:00
So I've been working on this book for quite sometime now. I had to do the design myself. I'll soon get there.… https://t.co/0NvLy9YZc0,NEGATIVE,0.973990797996521,2023-02-02 13:14:30+00:00
Latest happenings in my sister country #Nigeria is a cause for concern.Esply that they are few weeks away from one… https://t.co/vrii15iT7q,NEGATIVE,0.7078809142112732,2023-02-02 13:09:11+00:00
All the evil plots by Osun PDP led by Adeleke to deter APC members and supporters from attending today’s Presidenti… https://t.co/hsa8ege2dN,NEGATIVE,0.994292378425598,2023-02-02 13:06:51+00:00
I very much enjoyed speaking for @UKinNigeria with the very cool presenters @lasgidifm901 in #Lagos who asked some… https://t.co/rtgQTMF8IL,POSITIVE,0.9924157857894896,2023-02-02 12:58:23+00:00
Nigeria 🇳🇬 has oil &amp; gas. See long que for gas station. Bad Governance is killing us. When a nation doesn’t own its… https://t.co/XyZzHXZ9f5,NEGATIVE,0.9991171956062316,2023-02-02 12:55:07+00:00
#BREAKING the Central Bank of Nigeria (CBN) orders banks to start paying new naira notes over counter.… https://t.co/wJOpVzXunI,NEGATIVE,0.9941837191581726,2023-02-02 12:54:40+00:00
The crowd at #TinubuInOsun is electrifying! #NigeriaDecides2023,POSITIVE,0.9988150596618652,2023-02-02 12:54:28+00:00
Let's flip the coin. Now that people are thirsty for cash. Will this not push them into vote-selling? #CBNGOVERNOR… https://t.co/VSPnVMMddD,NEGATIVE,0.9946560859680176,2023-02-02 12:52:53+00:00
Transparency and accountability are key to ending bribery and corruption in Nigeria. It is only @PeterObi that is p… https://t.co/qRnRWQ3GHN,NEGATIVE,0.9674760103225708,2023-02-02 12:52:37+00:00
With tools and platforms like these I'm confident that we are also moving closer to inclusive electoral process dur… https://t.co/xlemuyqLua,POSITIVE,0.9950738549232484,2023-02-02 12:38:41+00:00
@RetsonTedheke01 Secretary Agric Directorate of the @APCPresCC2022 giving his goodwill message at the National Farm… https://t.co/vEL8OuTxvH,NEGATIVE,0.940480649471283,2023-02-02 12:37:45+00:00
Money laundering is a serious issue and it affects Nigeria badly. It's time for the country to take action against… https://t.co/SXWx8Uhjor,NEGATIVE,0.999747097492218,2023-02-02 12:36:42+00:00
The good people of Osun State came out en masse in support of Asiwaju Bola Ahmed Tinubu #ABAT2023… https://t.co/Y6CoyAQZMb,POSITIVE,0.951073169708252,2023-02-02 12:33:53+00:00
Did you know that roughly N220 million is made daily by the unregulated informal transport union/committee in Lagos… https://t.co/nQwtl3bC3x,NEGATIVE,0.991696298122406,2023-02-02 12:28:30+00:00
To be civilian no mean say we be criminals. For our father land we dey live like immigrant🇳🇬💔@iamAcetune you talk t… https://t.co/Fv3BnkwwSv,NEGATIVE,0.9936575293540956,2023-02-02 12:17:33+00:00
The electoral commission in Nigeria reports that an attack on one of its offices in the southeastern state of Anamb… https://t.co/cRYdJr8H5n,NEGATIVE,0.9983282685279846,2023-02-02 12:12:31+00:00
The Pidgin translation of the profiles and major promises of the so-called top four candidates in the… https://t.co/Ogyc8OFEyG,NEGATIVE,0.9939864873886108,2023-02-02 12:11:15+00:00
The Pidgin translation of the profiles and major promises of the so-called top four candidates in the… https://t.co/TPccBtTGSU,NEGATIVE,0.994416117668152,2023-02-02 12:10:49+00:00
Obidient and datticians what would you do if Obi doesn't win? Or what will be your reaction?… https://t.co/7MGRZ5tfq0,NEGATIVE,0.9963650703430176,2023-02-02 12:09:31+00:00
"If you know you participated in ""Occupy Nigeria"" in 2012 and you're silent in the face of all this hardship that is… https://t.co/WT9rw1pajv",POSITIVE,0.9429892301559448,2023-02-02 12:07:42+00:00
He added that his focus is on speaking to voters and that the NNPP is the only national party that truly stands for… https://t.co/joomVPtnGc,NEGATIVE,0.9942668080329896,2023-02-02 12:05:02+00:00
@channelstv You no get kerosene to take cook beans; you go dey buy iron beans…e no don o! #CBN #NigeriaDecides2023 #Nigeria,NEGATIVE,0.9933383464813232,2023-02-02 12:02:37+00:00
"Just a serious reminder that Shettima once said ""to hell with restructuring"" . Hope you guys remember that. Too man… https://t.co/VNyIaHlIdy",POSITIVE,0.9714697003364564,2023-02-02 12:02:32+00:00
to advocate for issue-based campaigns toward the 2023 election The team met with PRP gubernatorial candidate and ot… https://t.co/xkisMZm2NT,NEGATIVE,0.7927095890045166,2023-02-02 11:45:08+00:00
Perfume store on Jumia. Shop now! #ValentinesDay2023 #NigeriaDecides2023 #LagosLovesDamini #Lagos #Nigeria2023… https://t.co/jrUragIC0X,NEGATIVE,0.979558289051056,2023-02-02 11:43:02+00:00
If you haven't join @BIG_Winning1 yet then am sorry to say you're missing. Weekend football is back and we all need… https://t.co/05vK2jmJzd,NEGATIVE,0.9968440532684326,2023-02-02 11:40:53+00:00
6k spent well #NigeriaDecides2023 🇳🇬 https://t.co/H16DOcW0co,NEGATIVE,0.9865711331367492,2023-02-02 11:35:28+00:00
My vote ☝️ is for @PeterObi of @NgLabour. #NigeriaDecides2023 https://t.co/wLqSN9nDQF,NEGATIVE,0.984099268913269,2023-02-02 11:31:43+00:00
@Hope_Uzodimma1 @OfficialAPCNg We are coming to vote you people out. #NigeriaDecides2023 #PeterObiForPresident2023,POSITIVE,0.5184406638145447,2023-02-02 11:31:27+00:00
All students join this peaceful march as we demand that all Nigerian students must vote come February 25th 2023. En… https://t.co/L6g7TcYrzS,POSITIVE,0.5092417597770691,2023-02-02 11:29:27+00:00
How would you feel to have Madam Ngozi Okonjo-Iweala as one of the Presidential candidates in this forthcoming Febr… https://t.co/LcdL5guihV,NEGATIVE,0.9614303708076476,2023-02-02 11:26:42+00:00
IBEDC_NG keeping Saki in prolonged power outage. It's more than 96hrs again. #ibedc #DistributingDarkness Very poor… https://t.co/yPg7islmxO,NEGATIVE,0.9996421337127686,2023-02-02 11:23:21+00:00
States and Local Government Areas with reports of Security threats limiting access for elections according to pre-e… https://t.co/AVThSgYLme,NEGATIVE,0.994568943977356,2023-02-02 11:20:26+00:00
Do you still need a prophet to tell you that The government is like 20% of the problem? While Nigerians are 80% of… https://t.co/viYxVkvxer,NEGATIVE,0.99602472782135,2023-02-02 11:19:16+00:00
@realFFK @officialABAT @atiku @PeterObi @MBuhari Stop this propaganda and making us believe that they is a plot aga… https://t.co/rgB8XB9cfa,NEGATIVE,0.9964080452919006,2023-02-02 11:18:17+00:00
@Omolara_Eliza @DrCOmole Look at the equipment. This is a politician-mobilized protest. This isn't a gathering of o… https://t.co/fzab1QCQ9g,NEGATIVE,0.9979523420333862,2023-02-02 11:08:01+00:00
The Igbo World Assembly (IWA) has called on Ndigbo across the country to ignore calls to boycott the 2023 general e… https://t.co/3Gc8Zh9Dg9,NEGATIVE,0.992429792881012,2023-02-02 11:00:34+00:00
Yiaga Africa's #WatchingTheVote pre-election observation report reveals rate of electoral violence like destruction… https://t.co/MbFZCZ6qPb,NEGATIVE,0.9879074692726136,2023-02-02 10:58:47+00:00
Yiaga Africa's #WatchingTheVote pre-election observation report reveals that political party campaigns by geo-polit… https://t.co/urbBBrZZlE,NEGATIVE,0.9708887338638306,2023-02-02 10:54:48+00:00
The only purpose I have is to live life .. why is it so difficult ?? #ssd #AID #Elections2023 #NigeriaDecides2023,NEGATIVE,0.9993327260017396,2023-02-02 10:43:55+00:00
Do not vote because of Region or Religion rather Vote for the Right person. February love from the beginning but wa… https://t.co/uSjIz70kKP,NEGATIVE,0.9046869277954102,2023-02-02 10:43:53+00:00
Them suppose pack all bank managers ask them why they are intentionally helping evil thrive in Nigeria. If CBN has… https://t.co/eDHW1VKyMU,NEGATIVE,0.9970826506614684,2023-02-02 10:42:51+00:00
U get money 4 bank but will be begging to get ur money. What a country 😢. #NigeriaDecides2023,NEGATIVE,0.996391236782074,2023-02-02 10:39:15+00:00
You govern by these principles based on your campaigns and please don't waste our time listening to your rubbish be… https://t.co/ziohdePw7T,NEGATIVE,0.9665281772613524,2023-02-02 10:37:07+00:00
Election is costly in Nigeria. It is costing our country so much. Don't be part of those wasting our common resourc… https://t.co/V4X43qKTIA,NEGATIVE,0.9888876080513,2023-02-02 10:36:48+00:00
All students join this peaceful march as we demand that all Nigerian students must vote come February 25th 2023. En… https://t.co/A9WJQNA3VQ,POSITIVE,0.5745072364807129,2023-02-02 10:35:25+00:00
Thank you for playing with us! Remember that Nigeria can only move forward if you actively participate by voting in… https://t.co/agFvTwTbOO,POSITIVE,0.9978952407836914,2023-02-02 09:04:45+00:00
Access Bank @myaccessbank @accessbank_help no gree allow man access him money. #Nigerians #NigeriaDecides2023… https://t.co/TzBs6rAsiS,NEGATIVE,0.9897192716598512,2023-02-02 08:51:56+00:00
Empowering the Nigerian youths to be self reliant should be one of the key area of priority for the upcoming admini… https://t.co/5uGernHK60,POSITIVE,0.8984463810920715,2023-02-02 08:50:19+00:00
Ghana 🇬🇭 constructed the largest interchange in West Africa with  $94million within 3yrs while Lagos Ibadan express… https://t.co/2ZsO92lk8y,POSITIVE,0.6790692210197449,2023-02-02 08:49:43+00:00
The CBN governor claimed that a huge amount of new notes were disbursed nationwide but banks keep saying no money.… https://t.co/KbKqO3vFqX,NEGATIVE,0.9975088834762572,2023-02-02 08:45:45+00:00
I’m not rich but I pity those who are poorer cos how will they even survive this.. #NigeriaDecides2023… https://t.co/YJ5zeEPHw0,NEGATIVE,0.9982482194900512,2023-02-02 08:43:01+00:00
Vote Labour Party for a better Nigeria……. #NigeriaDecides2023 https://t.co/sc77FtXWCg,NEGATIVE,0.9863320589065552,2023-02-02 08:37:06+00:00
CPC has quietly left @OfficialAPCNg  WhatsApp group to ACN ~chai #NigeriaDecides2023,NEGATIVE,0.9981145858764648,2023-02-02 08:28:46+00:00
It's obvious Nigerians want @PeterObi as the next @NGRPresident. We are only going to the polls on the 25th of Febr… https://t.co/keGvkWeJsd,NEGATIVE,0.9962673783302308,2023-02-02 08:28:25+00:00
Please where is Nigerian Labor Congress! NLC! they used to bare the grievances of the masses before or have they ch… https://t.co/goPfcAEJGY,NEGATIVE,0.9964035749435424,2023-02-02 08:26:44+00:00
Vote for @PeterObi &amp; Yusuf Datti make prayer points reduce #LabourParty #NigeriaDecides2023 @SavvyRinu @KanayoOKanayo @PeterPsquare,NEGATIVE,0.9872182607650756,2023-02-02 08:15:23+00:00
@inecnigeria Good Citizens who stay close to INEC facilities should join in protecting INEC materials and be observ… https://t.co/gLAFJGFkNJ,POSITIVE,0.9851914644241332,2023-02-02 08:14:33+00:00
#Nigeria: Gunmen attacked an Independent National Electoral Commission (Inec) office in south-eastern Anambra State… https://t.co/VSoPWwKoB3,NEGATIVE,0.9931706190109252,2023-02-02 08:13:10+00:00
We don’t want a president that is older than the country. Is that too much to ask for?#NigeriaDecides2023 #GETYOURPVC,NEGATIVE,0.9976281523704528,2023-02-02 08:09:09+00:00
@ruffydfire  Sir Ajiboye cannot answer the question oh. He knows the truth but partisan politics has him choked and… https://t.co/pwXYfwVhrb,NEGATIVE,0.9988651275634766,2023-02-02 08:08:07+00:00
Cash 💰❌ Transfer ❌ Food 🥘❌ Bank ❌ #NigeriaDecides2023,NEGATIVE,0.9823259711265564,2023-02-02 08:05:21+00:00
My #NigeriaDecides2023 countdown begins.From Today the elction is 23 days away.We have to be ready to make extreme… https://t.co/aL2Zml9VUm,NEGATIVE,0.9962357878684998,2023-02-02 07:58:25+00:00
